Text Inputs : Specimen label,"22L.3"
General : Start Date,13/11/2018 5:14 PM

Time,Extension,Load,Segment ID,Total Cycle Count
(sec),(mm),(N),,
84.65999,-7.94235,-18.90721,22412,0
84.68000,-7.93899,-18.90686,22412,0
84.70000,-7.93562,-18.91755,22412,0
84.72000,-7.93228,-18.89178,22412,0
84.74000,-7.92896,-18.86895,22412,0
84.75999,-7.92563,-18.83608,22412,0
84.78000,-7.92225,-18.85198,22412,0
84.79999,-7.91888,-18.81891,22412,0
84.82000,-7.91555,-18.82199,22412,0
84.84000,-7.91224,-18.80652,22412,0
84.86000,-7.90892,-18.78640,22412,0
84.88000,-7.90556,-18.77121,22412,0
84.90000,-7.90221,-18.79318,22412,0
84.92000,-7.89889,-18.80764,22412,0
84.93999,-7.89557,-18.75319,22412,0
84.96000,-7.89226,-18.70456,22412,0
84.97999,-7.88890,-18.68984,22412,0
85.00000,-7.88554,-18.67851,22412,0
85.02000,-7.88222,-18.69356,22412,0
85.04000,-7.87890,-18.66974,22412,0
85.06000,-7.87558,-18.63458,22412,0
85.07999,-7.87223,-18.59366,22412,0
85.10000,-7.86887,-18.54744,22412,0
85.11999,-7.86555,-18.54535,22412,0
85.14000,-7.86226,-18.55253,22412,0
85.15999,-7.85895,-18.56170,22412,0
85.18000,-7.85561,-18.54416,22412,0
85.20000,-7.85226,-18.54284,22412,0
85.22000,-7.84895,-18.47963,22412,0
85.24000,-7.84565,-18.42909,22412,0
85.25999,-7.84234,-18.42362,22412,0
85.28000,-7.83897,-18.42255,22412,0
85.29999,-7.83558,-18.37876,22412,0
85.32000,-7.83223,-18.36202,22412,0
85.34000,-7.82888,-18.35271,22412,0
85.36000,-7.82554,-18.37872,22412,0
85.38000,-7.82220,-18.38226,22412,0
85.40000,-7.81887,-18.34251,22412,0
85.42000,-7.81559,-18.31381,22412,0
85.43999,-7.81231,-18.30281,22412,0
85.46000,-7.80899,-18.30726,22412,0
85.47999,-7.80564,-18.29064,22412,0
85.50000,-7.80228,-18.28157,22412,0
85.52000,-7.79892,-18.26643,22412,0
85.54000,-7.79560,-18.24719,22412,0
85.56000,-7.79227,-18.23672,22412,0
85.57999,-7.78891,-18.22621,22412,0
85.60000,-7.78555,-18.23092,22412,0
85.61999,-7.78222,-18.20481,22412,0
85.64000,-7.77891,-18.17175,22412,0
85.65999,-7.77559,-18.15207,22412,0
85.68000,-7.77225,-18.14210,22412,0
85.70000,-7.76890,-18.11720,22412,0
85.72000,-7.76557,-18.07687,22412,0
85.74000,-7.76224,-18.07189,22412,0
85.75999,-7.75891,-18.07772,22412,0
85.78000,-7.75557,-18.04457,22412,0
85.79999,-7.75221,-17.99329,22412,0
85.82000,-7.74887,-17.95217,22412,0
85.84000,-7.74554,-17.94124,22412,0
85.86000,-7.74221,-17.94287,22412,0
85.88000,-7.73888,-17.88358,22412,0
85.90000,-7.73554,-17.86531,22412,0
85.92000,-7.73221,-17.83362,22412,0
85.93999,-7.72890,-17.84207,22412,0
85.96000,-7.72559,-17.84126,22412,0
85.97999,-7.72227,-17.79551,22412,0
86.00000,-7.71894,-17.79693,22412,0
86.02000,-7.71561,-17.80852,22412,0
86.04000,-7.71228,-17.77079,22412,0
86.06000,-7.70896,-17.73130,22412,0
86.07999,-7.70563,-17.71636,22412,0
86.10000,-7.70230,-17.71929,22412,0
86.11999,-7.69897,-17.72854,22412,0
86.14000,-7.69566,-17.79104,22412,0
86.15999,-7.69235,-17.72638,22412,0
86.18000,-7.68903,-17.75281,22412,0
86.20000,-7.68569,-17.72146,22412,0
86.22000,-7.68235,-17.60199,22412,0
86.24000,-7.67901,-17.60814,22412,0
86.25999,-7.67566,-17.66957,22412,0
86.28000,-7.67232,-17.61587,22412,0
86.29999,-7.66896,-17.65445,22412,0
86.32000,-7.66561,-17.63093,22412,0
86.34000,-7.66227,-17.57865,22412,0
86.36000,-7.65894,-17.53251,22412,0
86.38000,-7.65561,-17.51642,22412,0
86.40000,-7.65228,-17.49316,22412,0
86.42000,-7.64896,-17.52878,22412,0
86.43999,-7.64563,-17.54393,22412,0
86.46000,-7.64230,-17.52384,22412,0
86.47999,-7.63896,-17.49884,22412,0
86.50000,-7.63560,-17.46501,22412,0
86.52000,-7.63224,-17.46519,22412,0
86.54000,-7.62889,-17.46864,22412,0
86.56000,-7.62555,-17.45334,22412,0
86.57999,-7.62221,-17.41982,22412,0
86.60000,-7.61887,-17.41837,22412,0
86.61999,-7.61555,-17.43107,22412,0
86.64000,-7.61223,-17.41687,22412,0
86.65999,-7.60892,-17.37841,22412,0
86.68000,-7.60561,-17.38112,22412,0
86.70000,-7.60230,-17.41062,22412,0
86.72000,-7.59899,-17.40870,22412,0
86.74000,-7.59568,-17.36680,22412,0
86.75999,-7.59235,-17.33139,22412,0
86.78000,-7.58899,-17.28916,22412,0
86.79999,-7.58564,-17.30287,22412,0
86.82000,-7.58229,-17.31846,22412,0
86.84000,-7.57896,-17.31505,22412,0
86.86000,-7.57563,-17.28630,22412,0
86.88000,-7.57230,-17.23689,22412,0
86.90000,-7.56898,-17.19169,22412,0
86.92000,-7.56567,-17.22108,22412,0
86.93999,-7.56238,-17.24005,22412,0
86.96000,-7.55907,-17.17830,22412,0
86.97999,-7.55571,-17.16610,22412,0
87.00000,-7.55232,-17.18571,22412,0
87.02000,-7.54896,-17.19289,22412,0
87.04000,-7.54562,-17.13498,22412,0
87.06000,-7.54229,-17.14849,22412,0
87.07999,-7.53895,-17.16737,22412,0
87.10000,-7.53559,-17.16810,22412,0
87.11999,-7.53226,-17.09731,22412,0
87.14000,-7.52893,-17.08406,22412,0
87.15999,-7.52560,-17.06579,22412,0
87.18000,-7.52226,-17.02579,22412,0
87.20000,-7.51890,-17.01636,22412,0
87.22000,-7.51557,-16.99527,22412,0
87.24000,-7.51225,-16.99158,22412,0
87.25999,-7.50892,-16.96553,22412,0
87.28000,-7.50555,-16.94162,22412,0
87.29999,-7.50219,-16.94769,22412,0
87.32000,-7.49886,-16.95715,22412,0
87.34000,-7.49555,-16.94264,22412,0
87.36000,-7.49224,-16.92023,22412,0
87.38000,-7.48890,-16.90540,22412,0
87.40000,-7.48557,-16.89349,22412,0
87.42000,-7.48225,-16.83651,22412,0
87.43999,-7.47894,-16.79094,22412,0
87.46000,-7.47563,-16.79896,22412,0
87.47999,-7.47230,-16.81120,22412,0
87.50000,-7.46897,-16.80335,22412,0
87.52000,-7.46565,-16.81299,22412,0
87.54000,-7.46232,-16.76952,22412,0
87.56000,-7.45898,-16.73649,22412,0
87.57999,-7.45562,-16.73079,22412,0
87.60000,-7.45227,-16.73990,22412,0
87.61999,-7.44897,-16.72045,22412,0
87.64000,-7.44567,-16.66432,22412,0
87.65999,-7.44235,-16.68049,22412,0
87.68000,-7.43900,-16.67287,22412,0
87.70000,-7.43564,-16.64836,22412,0
87.72000,-7.43234,-16.62203,22412,0
87.74000,-7.42903,-16.59688,22412,0
87.75999,-7.42567,-16.60630,22412,0
87.78000,-7.42226,-16.61164,22412,0
87.79999,-7.41889,-16.58796,22412,0
87.82000,-7.41557,-16.57409,22412,0
87.84000,-7.41226,-16.55242,22412,0
87.86000,-7.40894,-16.55369,22412,0
87.88000,-7.40557,-16.55719,22412,0
87.90000,-7.40221,-16.51468,22412,0
87.92000,-7.39890,-16.44900,22412,0
87.93999,-7.39561,-16.42222,22412,0
87.96000,-7.39229,-16.41875,22412,0
87.97999,-7.38889,-16.40335,22412,0
88.00000,-7.38551,-16.42489,22412,0
88.02000,-7.38216,-16.42245,22412,0
88.04000,-7.37883,-16.40334,22412,0
88.06000,-7.37551,-16.38672,22412,0
88.07999,-7.37217,-16.36220,22412,0
88.10000,-7.36883,-16.33254,22412,0
88.11999,-7.36552,-16.32076,22412,0
88.14000,-7.36223,-16.30387,22412,0
88.15999,-7.35891,-16.28066,22412,0
88.18000,-7.35557,-16.24072,22412,0
88.20000,-7.35222,-16.23792,22412,0
88.22000,-7.34890,-16.22373,22412,0
88.24000,-7.34559,-16.20504,22412,0
88.25999,-7.34225,-16.17944,22412,0
88.28000,-7.33887,-16.18207,22412,0
88.29999,-7.33551,-16.19227,22412,0
88.32000,-7.33221,-16.17478,22412,0
88.34000,-7.32892,-16.15155,22412,0
88.36000,-7.32559,-16.14833,22412,0
88.38000,-7.32223,-16.10724,22412,0
88.40000,-7.31888,-16.09133,22412,0
88.42000,-7.31560,-16.11767,22412,0
88.43999,-7.31232,-16.12210,22412,0
88.46000,-7.30902,-16.08359,22412,0
88.47999,-7.30565,-16.05526,22412,0
88.50000,-7.30228,-16.06072,22412,0
88.52000,-7.29893,-16.07851,22412,0
88.54000,-7.29562,-16.03080,22412,0
88.56000,-7.29230,-16.00104,22412,0
88.57999,-7.28892,-15.99731,22412,0
88.60000,-7.28556,-16.00921,22412,0
88.61999,-7.28222,-15.98101,22412,0
88.64000,-7.27891,-15.94939,22412,0
88.65999,-7.27558,-15.93738,22412,0
88.68000,-7.27220,-15.90661,22412,0
88.70000,-7.26882,-15.90556,22412,0
88.72000,-7.26549,-15.90252,22412,0
88.74000,-7.26219,-15.86591,22412,0
88.75999,-7.25888,-15.81552,22412,0
88.78000,-7.25553,-15.80294,22412,0
88.79999,-7.25217,-15.82943,22412,0
88.82000,-7.24883,-15.82897,22412,0
88.84000,-7.24551,-15.79085,22412,0
88.86000,-7.24220,-15.74587,22412,0
88.88000,-7.23888,-15.69355,22412,0
88.90000,-7.23556,-15.69962,22412,0
88.92000,-7.23223,-15.68053,22412,0
88.93999,-7.22890,-15.63674,22412,0
88.96000,-7.22557,-15.61739,22412,0
88.97999,-7.22225,-15.62727,22412,0
89.00000,-7.21892,-15.64866,22412,0
89.02000,-7.21559,-15.63016,22412,0
89.04000,-7.21226,-15.58456,22412,0
89.06000,-7.20893,-15.56216,22412,0
89.07999,-7.20561,-15.54112,22412,0
89.10000,-7.20228,-15.49378,22412,0
89.11999,-7.19895,-15.47313,22412,0
89.14000,-7.19564,-15.45901,22412,0
89.15999,-7.19233,-15.46676,22412,0
89.18000,-7.18902,-15.48034,22412,0
89.20000,-7.18569,-15.45155,22412,0
89.22000,-7.18236,-15.41823,22412,0
89.24000,-7.17904,-15.37597,22412,0
89.25999,-7.17571,-15.37491,22412,0
89.28000,-7.17236,-15.36650,22412,0
89.29999,-7.16897,-15.35926,22412,0
89.32000,-7.16559,-15.36250,22412,0
89.34000,-7.16226,-15.31992,22412,0
89.36000,-7.15895,-15.30046,22412,0
89.38000,-7.15563,-15.29240,22412,0
89.40000,-7.15230,-15.29899,22412,0
89.42000,-7.14898,-15.30238,22412,0
89.43999,-7.14565,-15.26867,22412,0
